Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits,date
2026-07-16 08:00:00-04:00,7597.0,7599.0,7588.25,7591.5,6246,0.0,0.0,2026-07-16
2026-07-16 08:15:00-04:00,7591.25,7594.5,7584.0,7587.0,8877,0.0,0.0,2026-07-16
2026-07-16 08:30:00-04:00,7587.25,7591.0,7580.5,7583.0,9755,0.0,0.0,2026-07-16
2026-07-16 08:45:00-04:00,7582.75,7590.25,7581.75,7586.5,7506,0.0,0.0,2026-07-16
2026-07-16 09:00:00-04:00,7586.75,7596.25,7586.0,7595.75,9053,0.0,0.0,2026-07-16
2026-07-16 09:15:00-04:00,7595.75,7598.0,7594.25,7596.5,10526,0.0,0.0,2026-07-16
2026-07-16 09:30:00-04:00,7596.75,7604.25,7579.75,7582.0,79865,0.0,0.0,2026-07-16
2026-07-16 09:45:00-04:00,7581.75,7591.5,7575.5,7588.0,66168,0.0,0.0,2026-07-16
2026-07-16 10:00:00-04:00,7587.75,7605.5,7585.25,7602.75,58146,0.0,0.0,2026-07-16
2026-07-16 10:15:00-04:00,7602.75,7613.0,7600.0,7612.5,45087,0.0,0.0,2026-07-16
2026-07-16 10:30:00-04:00,7612.5,7613.75,7606.5,7612.75,37056,0.0,0.0,2026-07-16
2026-07-16 10:45:00-04:00,7613.0,7615.0,7602.75,7611.25,42223,0.0,0.0,2026-07-16
2026-07-16 11:00:00-04:00,7611.0,7613.25,7599.75,7602.25,40183,0.0,0.0,2026-07-16
2026-07-16 11:15:00-04:00,7602.5,7613.5,7598.75,7607.25,38979,0.0,0.0,2026-07-16
2026-07-16 11:30:00-04:00,7607.25,7613.25,7601.75,7605.75,32664,0.0,0.0,2026-07-16
2026-07-16 11:45:00-04:00,7605.5,7610.25,7599.25,7604.75,28019,0.0,0.0,2026-07-16
2026-07-16 12:00:00-04:00,7605.0,7605.5,7588.5,7589.25,36254,0.0,0.0,2026-07-16
2026-07-16 12:15:00-04:00,7589.0,7594.25,7583.0,7588.25,39934,0.0,0.0,2026-07-16
2026-07-16 12:30:00-04:00,7588.5,7594.25,7586.75,7588.75,27381,0.0,0.0,2026-07-16
2026-07-16 12:45:00-04:00,7588.75,7599.25,7586.0,7598.25,22600,0.0,0.0,2026-07-16
2026-07-16 13:00:00-04:00,7598.25,7598.75,7590.5,7591.25,16181,0.0,0.0,2026-07-16
2026-07-16 13:15:00-04:00,7591.25,7597.25,7589.25,7596.0,15966,0.0,0.0,2026-07-16
2026-07-16 13:30:00-04:00,7596.25,7597.25,7579.5,7583.0,30025,0.0,0.0,2026-07-16
2026-07-16 13:45:00-04:00,7583.25,7588.0,7579.75,7582.25,21220,0.0,0.0,2026-07-16
2026-07-16 14:00:00-04:00,7582.25,7584.0,7573.25,7576.25,31402,0.0,0.0,2026-07-16
2026-07-16 14:15:00-04:00,7576.25,7586.5,7573.75,7578.5,30307,0.0,0.0,2026-07-16
2026-07-16 14:30:00-04:00,7578.5,7578.5,7568.0,7574.5,28042,0.0,0.0,2026-07-16
2026-07-16 14:45:00-04:00,7574.25,7578.75,7570.5,7571.5,18292,0.0,0.0,2026-07-16
2026-07-16 15:00:00-04:00,7571.25,7576.25,7564.75,7566.5,26186,0.0,0.0,2026-07-16
2026-07-16 15:15:00-04:00,7566.5,7569.5,7558.0,7560.25,30147,0.0,0.0,2026-07-16
2026-07-16 15:30:00-04:00,7560.25,7561.25,7553.0,7554.5,39661,0.0,0.0,2026-07-16
2026-07-16 15:45:00-04:00,7554.5,7579.5,7548.25,7577.25,115922,0.0,0.0,2026-07-16
2026-07-16 16:00:00-04:00,7577.25,7578.0,7567.0,7567.25,32104,0.0,0.0,2026-07-16
2026-07-16 16:15:00-04:00,7567.25,7573.75,7566.25,7569.25,5904,0.0,0.0,2026-07-16
2026-07-16 16:30:00-04:00,7569.0,7570.75,7566.5,7568.75,3342,0.0,0.0,2026-07-16
2026-07-16 16:45:00-04:00,7568.75,7570.0,7567.25,7569.25,3049,0.0,0.0,2026-07-16
2026-07-16 18:00:00-04:00,7572.75,7575.0,7569.5,7570.25,994,0.0,0.0,2026-07-16
2026-07-16 18:15:00-04:00,7570.5,7570.75,7566.5,7567.0,1540,0.0,0.0,2026-07-16
2026-07-16 18:30:00-04:00,7567.25,7568.25,7565.25,7567.25,1259,0.0,0.0,2026-07-16
2026-07-16 18:45:00-04:00,7567.25,7567.5,7563.75,7565.75,1923,0.0,0.0,2026-07-16
2026-07-16 19:00:00-04:00,7566.0,7567.0,7561.25,7564.75,1458,0.0,0.0,2026-07-16
2026-07-16 19:15:00-04:00,7564.75,7564.75,7558.75,7561.0,1283,0.0,0.0,2026-07-16
2026-07-16 19:30:00-04:00,7560.75,7564.0,7557.0,7562.25,1842,0.0,0.0,2026-07-16
